"insee_2015","Nom","Surf","11","12","13","14","15","21","22","23","24","31","32","51","xx"
"14137","Carpiquet",588.59,153.56,93.37,0,4.88,8.29,286.73,0.18,25.19,0.08,0.3,15.07,0.96,0
"14138","Cartigny-l'Epinay",1049.93,21.76,29.08,0.31,1.06,0,390.62,0,504.26,1.94,0.03,96.23,4.64,0
"14139","Carville",1065.36,21.2,28.37,0,6.13,0.49,380.82,5.26,376.86,0.43,127.03,111.23,7.52,0
"14140","Castillon",1114.04,23.48,21.22,0,2,0.53,499.52,10.09,380.64,0.64,16.57,155.35,4.01,0
"14141","Castillon-en-Auge",734.39,10.27,14.26,0,2.59,0,166.67,7.6,360.68,3.42,61.22,104.5,3.16,0
"14142","Castilly",1242.96,31.2,26.1,0,2.5,0.76,355.87,0.01,671.52,1.05,4.16,143.8,6.01,0
"14143","Caumont-l'Evente",640.61,51.24,23.09,0,5.48,4.27,287.16,0,207.28,1.31,1.01,54.47,5.3,0
"14144","Caumont-sur-Orne",92.86,3.75,3.06,0,0.42,0,27.96,0,27.65,0.03,21.34,7.48,1.18,0
"14145","Cauvicourt",973.6,35.7,32.98,17.67,3.34,0.21,836.73,0.07,18.17,2.07,7.96,17.89,0.79,0
"14146","Cauville",594.73,7.17,13.11,0,0.76,1.05,215.46,0,216.85,0.72,85.17,53.25,1.2,0
"14147","Cernay",587.67,10.95,12.38,0,3.3,0,243.82,0.46,194.94,0.16,58.28,62.61,0.78,0
"14148","Cerqueux",573.75,6.61,10.31,0,2.67,0,215.15,0.09,211.85,0.31,52.43,73.56,0.76,0
"14149","Cesny-aux-Vignes",411.97,20.05,11.77,0,1.41,0.44,277.71,0,61.88,0.52,14.17,22.21,1.81,0
"14150","Cesny-Bois-Halbout",664.65,22.73,23.09,0,1.87,0.75,428.07,1.57,146.13,0.46,2.9,35.7,1.39,0
"14151","Champ-du-Boult",1418.92,35.37,30.01,0,4.85,0,304.88,16.09,700.79,0.67,107.8,209.9,8.55,0
"14152","La Chapelle-Engerbold",407.8,6.62,10.01,0,3.06,0,131.64,2.27,173.73,0.3,22.93,54.18,3.06,0
"14153","La Chapelle-Haute-Grue",294.4,7.06,4.85,0,0.58,0,29.99,4.48,177.31,0.44,6.1,62.77,0.83,0
"14154","La Chapelle-Yvon",706.16,34.42,17.75,0,5.9,0.76,155.48,4.16,278.48,0.08,104.99,98.17,5.97,0
"14155","Cheffreville-Tonnencourt",786.97,21.87,14.54,0,6.81,0,91.15,0.86,422.22,0.85,60.75,163.67,4.25,0
"14156","Chenedolle",683.42,12.15,17.54,0,4.77,0,389.36,4.08,175.24,0.38,4.29,71.32,4.29,0
"14157","Cheux",1439.9,51.05,32.42,0,5.84,4.36,1158.6,0.06,129.71,2.34,4.99,49.72,0.8,0
"14158","Chicheboville",754.11,28.76,14.85,0,1.69,0.38,538.44,0.53,55.21,1.8,60.67,46.34,5.44,0
"14159","Chouain",315.43,10.32,7.42,0,2.01,0,159.34,0.3,103.56,0.34,0,29.68,2.44,0
"14160","Cintheaux",753.8,15.62,29.84,0,1.43,8.8,667.05,0,15.09,1.53,0.46,13.91,0.09,0
"14161","Clarbec",969.24,26.6,22.78,0,8.92,0.29,129.14,2.85,524.15,0.18,15.18,235.81,3.34,0
"14162","Clecy",2456.43,117.34,81.04,0.05,6.63,1.38,658.77,6.25,876.47,2.83,367.83,312,25.83,0
"14163","Cleville",871.25,21.74,13.97,0,2.82,0.67,256.64,0,478.69,0.99,6.94,77.44,11.34,0
"14164","Clinchamps-sur-Orne",635.85,45.15,20.95,0,6.68,4.23,342.17,0.53,120.89,0.46,31.37,53.75,9.68,0
"14165","Colleville-sur-Mer",692.35,35.96,29.44,0,2.84,6.65,149.47,4.76,275.96,0.22,81.34,104.35,1.35,0
"14166","Colleville-Montgomery",797.59,91.62,34.24,0,5.99,4.36,471.25,0.02,112.89,2.67,25.31,42.78,6.46,0
"14167","Colombelles",710.42,222.17,116.75,0,10.44,80.88,195.32,0,3.28,0.08,8.03,59.41,14.06,0
"14333","Honfleur",1368.15,317.59,135.89,0,37.75,19.01,64.06,1.38,459.52,2.01,121.95,159.93,49.05,0
