"id","Nom","pop","type","c","p","e","s"
"14055","Beaumont-en-Auge",420,"c",,,"241400878",
"14056","bauquay",275,"c","14027",,,
"14057","Bellengreville",1539,"c",,,"140000009",
"14058","bellou",158,"c","14371",,,
"14059","Benerville-sur-Mer",475,"c",,,"241400415",
"14060","Bénouville",2099,"c",,,"140000001",
"14061","Souleuvre en Bocage",8735,"c",,,"140000006",
"14061","le beny-bocage",1046,"c","14061",,,
"14062","Bény-sur-Mer",439,"c",,,"140000005",
"14063","Bernesq",187,"c",,,"140000003",
"14064","Bernières-d'Ailly",252,"c",,,"241400514",
"14065","bernieres-le-patry",566,"c","14726",,,
"14066","Bernières-sur-Mer",2348,"c",,,"241400860",
"14068","Biéville-Beuville",2945,"c",,,"140000001",
"14069","Beuvillers",1379,"c",,,"140000002",
"14070","Beuvron-en-Auge",210,"c",,,"241400761",
"14073","la bigne",201,"c","14579",,,
"14074","billy",346,"c","14005",,,
"14075","bissieres",180,"c","14410",,,
"14076","Blainville-sur-Orne",5514,"c",,,"140000001",
"14077","Blangy-le-Château",686,"c",,,"241400878",
"14078","Blay",382,"c",,,"140000003",
"14079","Blonville-sur-Mer",1528,"c",,,"241400415",
"14080","Le Bô",106,"c",,,"140000007",
"14081","boissey",232,"c","14654",,,
"14082","La Boissière",199,"c",,,"140000002",
"14083","Bonnebosq",701,"c",,,"241400761",
"14084","Bonnemaison",398,"c",,,"140000004",
"14085","Bonneville-la-Louvet",756,"c",,,"241400878",
"14086","Bonneville-sur-Touques",374,"c",,,"241400878",
"14087","Bonnil",131,"c",,,"241400514",
"14088","Bons-Tassilly",389,"c",,,"241400514",
"14089","Bougy",419,"c",,,"140000008",
"14090","Boulon",653,"c",,,"140000007",
"14091","Bourgeauville",109,"c",,,"241400878",
"14092","Bourguébus",1771,"c",,,"140000001",
"14093","Branville",220,"c",,,"241400878",
"14096","Brémoy",219,"c",,,"140000004",
"14097","Bretteville-le-Rabet",289,"c",,,"140000007",
"14098","Thue et Mue",5449,"c",,,"140000001",
"14098","bretteville-l'orgueilleuse",2440,"c","14098",,,
"14099","bretteville-sur-dives",289,"c","14654",,,
"14100","Bretteville-sur-Laize",1780,"c",,,"140000007",
"14101","Bretteville-sur-Odon",3889,"c",,,"140000001",
"14102","Le Breuil-en-Auge",1019,"c",,,"241400878",
"14103","Le Breuil-en-Bessin",437,"c",,,"140000003",
"14104","Le Brévedent",170,"c",,,"241400878",
"14105","la breviere",122,"c","14576",,,
"14106","Bréville-les-Monts",651,"c",,,"140000010",
"14107","Bricqueville",165,"c",,,"140000003",
"14109","brouay",473,"c","14098",,,
"14110","Brucourt",123,"c",,,"140000010",
"14111","Bucéels",361,"c",,,"140000005",
"14113","burcy",377,"c","14726",,,
"14115","bures-les-monts",150,"c","14061",,,
"14116","Le Bû-sur-Rouvres",107,"c",,,"140000007",
"14117","Cabourg",3673,"c",,,"140000010",
"14118","Caen",106538,"c",,,"140000001",
"14119","Cagny",1607,"c",,,"140000009",
"14120","Cahagnes",1400,"c",,,"140000004",
"14121","Cahagnolles",255,"c",,,"140000003",
"14122","La Caine",139,"c",,,"140000008",
"14123","Cairon",1901,"c",,,"140000001",
"14124","La Cambe",608,"c",,,"140000003",
"14125","Cambes-en-Plaine",1517,"c",,,"140000001",
"14126","Cambremer",1156,"c",,,"241400761",
"14127","Campagnolles",498,"c",,,"140000006",
"14128","campandre-valcongrain",109,"c","14027",,,
"14129","campeaux",570,"c","14061",,,
"14130","Campigny",192,"c",,,"241400555",
"14131","Canapville",216,"c",,,"241400878",
"14132","Canchy",208,"c",,,"140000003",
"14134","Canteloup",192,"c",,,"140000009",
"14135","Carcagny",295,"c",,,"140000005",
"14136","Cardonville",100,"c",,,"140000003",
"14137","Carpiquet",2395,"c",,,"140000001",
"14138","Cartigny-l'Épinay",311,"c",,,"140000003",
"14139","carville",363,"c","14061",,,
"14140","Castillon",333,"c",,,"140000003",
"14141","Castillon-en-Auge",170,"c",,,"140000002",
"14142","castilly",290,"c","14342",,,
"14143","Caumont-sur-Aure",2407,"c",,,"140000004",
"14143","caumont-l'evente",1373,"c","14143",,,
"14144","caumont-sur-orne",84,"c","14689",,,
"14145","Cauvicourt",489,"c",,,"140000007",
"14146","Cauville",156,"c",,,"140000007",
"14147","Cernay",150,"c",,,"140000002",
"14148","cerqueux",92,"c","14371",,,
"14149","Cesny-aux-Vignes",474,"c",,,"140000009",
"14150","Cesny-Bois-Halbout",589,"c",,,"140000007",
"14151","champ-du-boult",388,"c","14658",,,
"14152","la chapelle-engerbold",112,"c","14174",,,
"14153","la chapelle-haute-grue",67,"c","14576",,,
"14154","la chapelle-yvon",534,"c","14570",,,
"14155","cheffreville-tonnencourt",277,"c","14371",,,
"14156","chenedolle",241,"c","14726",,,
"14157","cheux",1272,"c","14098",,,
"14158","chicheboville",509,"c","14456",,,
"14159","Chouain",227,"c",,,"241400555",
"14160","Cintheaux",199,"c",,,"140000007",
"14161","Clarbec",375,"c",,,"241400878",
"14162","Clécy",1251,"c",,,"140000007",
"14163","Cléville",367,"c",,,"140000009",
"14164","clinchamps-sur-orne",1098,"c","14349",,,
"14165","Colleville-sur-Mer",189,"c",,,"140000003",
"14166","Colleville-Montgomery",2347,"c",,,"140000001",
"14167","Colombelles",6258,"c",,,"140000001",
"14168","Colombières",209,"c",,,"140000003",
"14169","Colombiers-sur-Seulles",169,"c",,,"140000005",
"14170","colomby-sur-thaon",386,"c","14014",,,
"14171","Combray",151,"c",,,"140000007",
"14172","Commes",383,"c",,,"241400555",
"14173","Condé-sur-Ifs",498,"c",,,"140000009",
"14174","Condé-en-Normandie",6992,"c",,,"140000006",
"14174","conde-sur-noireau",5315,"c","14174",,,
"14175","Condé-sur-Seulles",288,"c",,,"241400555",
"14176","conteville",102,"c","14005",,,
"14177","Coquainvilliers",866,"c",,,"140000002",
"14178","corbon",66,"c","14474",,,
