"insee","11","12","13","14","15","21","22","23","24","31","32","51","xx"
"14092",90.03,30.18,0,3.57,13.07,395.73,0,13.17,0.4,4.43,2.49,1.48,0
"14093",18.94,12.19,0,3.76,0.6,152.65,0,319.09,0.36,34.07,95.31,2.14,0
"14096",15.06,23.6,0,3.31,0,376,10.91,401.03,0,309.84,124.64,5.93,0
"14097",14.82,11.1,13.88,2.15,0.82,379.36,0,10.41,0.33,2.91,20.31,0.69,0
"14098",112.91,47.39,0,8.41,17.59,373.33,0,52.05,0.8,0.67,16.29,3.24,0
"14099",17.52,11.43,0,1.11,0.32,435.25,0.67,182.61,1.71,0.54,42.32,3.54,0
"14100",62.49,33.61,0.01,10.92,4.46,518.05,0,211.99,1.2,60.21,76.39,5.07,0
"14101",140.14,76.11,0.51,10.51,9.97,270.39,0,79.36,0.08,8.67,49.24,3.76,0
"14102",63.47,35.39,0,14.03,2.45,12.76,0,464.58,1.87,115.68,200.34,33.82,0
"14103",26.18,13.73,2.28,0.49,2.42,140.35,0,176.94,0.72,6.43,66.4,5.34,0
"14104",14.41,10.87,0,5.2,0.07,118.82,0,157.23,0,68.22,69.73,2.87,0
"14105",9.15,8.64,0,2.54,0,5.05,2.18,234.5,0.24,7.94,83.85,1.67,0
"14106",31.19,14.41,0,3.35,0.32,254.86,0,120.97,0.27,18.08,37,0.95,0
"14107",14.36,15.35,0,0.37,0.32,204.37,0,362.28,0.46,4.44,79.96,4.27,0
"14109",18.07,15.42,0,2.43,0.51,221.71,0.09,93.12,0.14,10.44,43.88,0.86,0
"14110",12.18,13.27,0,3.67,0,7.62,0.46,480.05,0.1,18.73,80.8,47.29,0
"14111",16.39,11.28,0,1.88,1.46,198.53,0,206.19,0.44,0.25,49.12,2.93,0
"14113",16.79,26.27,0,6.26,0.1,569.05,1.64,469.14,0.32,2.25,86.99,2.98,0
"14115",6.94,12.94,0,0.96,0,143.04,0.7,214.82,0.04,77.93,67.77,4.63,0
"14116",5.58,4.97,0,0.49,0.16,251.14,0,17.57,0,0.3,6,0.01,0
"14117",252.8,88.66,0,15.81,7.02,0,0,134.88,0.02,0.03,21.84,13.32,0
"14118",1538.17,631.28,0,138.09,26.03,20.59,0.09,57.34,0,8.94,117.82,35.93,0
"14119",92,45.52,0,2.94,15.79,648.42,3.98,22.98,2.7,0.69,17.02,2.12,0
"14120",64.76,71.88,0,9.37,0.89,1262.77,0.15,760.38,2.26,25.85,256.26,13.52,0
"14121",24.02,15.36,0,0.92,0.26,402.64,0,209.21,0.37,1.96,71.05,3.48,0
"14122",7.32,7.08,0,0.71,0.09,102.91,0,96.41,0.02,0.41,27.12,1.21,0
"14123",75.53,20.03,0,6.44,4.94,450.84,0,20.08,1.14,0.91,15.88,1.39,0
"14124",41.92,52.54,0,2.58,0.2,426,2.63,511.94,0.57,0.64,80,7.77,0
"14125",47.11,17.64,0,7.95,3.61,227.21,0,7.95,0.07,0.07,7.51,0.37,0
"14126",52.49,50.22,0,18.6,1.44,289.49,3.42,1219.75,4.16,100.07,666.87,7.89,0
"14127",24.8,19.9,0,5.33,0.65,528.71,4.55,353.74,0.28,7.29,77.16,2.92,0
"14128",5.74,15.25,0,0.77,0,125.66,0.11,200.49,0.44,260.07,65.29,2.57,0
"14129",34.04,28.78,0.45,6.9,0.32,271.13,4.03,334.18,0.29,33.76,124.4,9.95,0
"14130",12.77,12.53,0.1,0.92,0.1,278.37,0,178.95,2.98,20.98,54.52,5.54,0
"14131",23.01,9.04,0,4.15,1.48,13.2,0,146.12,0,12.51,30.71,12.37,0
"14132",14.77,17.91,0,0.21,0,168.88,0,342.11,0.96,2.31,24.97,9.07,0
"14134",8.89,4.51,0,2.32,0.01,117.06,0,59.78,2.82,19.87,21.61,0.57,0
"14135",26.89,18.52,0,2.28,0,301.52,0.88,56,0.28,0.18,20.48,2.54,0
"14136",5.61,11.08,0,0.33,0,149.64,3.61,137.84,0.1,0.01,28.67,0.93,0
"14137",156.8,94.38,0,5.32,10.14,282.7,0.23,22.47,0.77,0.29,14.54,0.96,0
"14138",21.78,28.92,0.31,1,0,371.22,0,524.02,1.64,0.03,96.39,4.63,0
"14139",21.86,30.09,0,6.18,0.73,400.82,5.03,353.53,1.02,127.05,110.9,8.14,0
"14140",24.24,21.12,0,1.87,0.39,509.84,4.87,375.05,0.33,16.33,154.76,5.25,0
"14141",10.7,14,0,2.6,0,155.83,2.12,377.73,2.42,61.24,104.55,3.2,0
"14142",31.86,25.22,0,2.19,0.73,361.57,0.04,666.23,0.79,4.25,143.91,6.18,0
"14143",52.21,23.36,0,5.7,5.73,327.41,0,164.22,1.42,1.01,54.24,5.3,0
"14144",3.77,3.14,0,0.43,0,30.57,0,24.9,0.01,21.4,7.46,1.18,0
"14145",36,32.65,17.89,3.39,2.64,834.83,0.33,18.23,1.01,7.96,17.86,0.79,0
"14146",9.26,12.93,0,0.78,0.82,218.35,0,212.73,0.2,85.26,53.22,1.2,0
"14147",11.01,12.66,0,3.01,0,229.21,0.46,209.16,0.18,58.27,62.9,0.8,0
"14148",6.45,9.18,0,2.49,0,214.57,0.09,213.25,0.86,52.37,73.73,0.76,0
"14149",20.15,11.71,0,1.41,0.44,282.42,0,57.03,0.6,14.18,22.21,1.81,0
"14150",24.45,17.69,0,2.26,0.59,426.96,1.81,151.07,0.09,2.9,35.29,1.56,0
"14151",39.41,29.39,0,4.86,0,332.67,7.59,667.93,3.82,114.79,209.87,8.61,0
"14152",6.2,9.9,0,2.99,0,134.9,1.75,171.76,0.04,23.08,54.16,3.02,0
"14153",7.55,4.19,0,0.6,0,27.24,4.52,180.35,0.04,6.04,62.91,0.96,0
"14154",34.53,17.76,0,5.85,0.56,171.68,0.34,266.24,0.14,104.85,98.25,5.96,0
"14155",22.8,13.11,0,6.79,0,108.94,0.1,405.31,0.28,61.62,163.67,4.34,0
"14156",11.89,17.71,0,4.67,0,397.85,3.65,166.68,0.38,4.67,71.61,4.32,0
"14157",52.23,32.71,0,6.37,3.79,1165.66,0,123,1.29,4.97,49.07,0.8,0
"14158",29.27,15.26,0,1.69,1.2,543.29,0,49.88,1,60.75,46.33,5.44,0
"14159",10.38,7.52,0,1.56,0,174.96,0,86.72,1.74,0,30.1,2.44,0
"14160",15.63,29.91,0,1.43,8.8,664.77,0,15.37,3.29,0.61,13.91,0.09,0
"14161",28.89,23.56,0,9.72,0.39,132.58,0.07,520.22,0.02,15.67,234.77,3.37,0
"14162",73.86,82.07,0.07,6.66,2.09,708.91,8.85,851.04,3.46,381.43,311.94,26.04,0
"14163",22,13.9,0,2.83,0.7,257.69,0,478.11,0.32,6.91,77.43,11.36,0
"14164",45.76,21.49,0,6.24,3.53,337.96,0,126.29,0.07,31.02,53.48,10.02,0
"14165",36.92,30.02,0,2.64,6.51,154.91,4.76,269.34,0,81.32,104.58,1.35,0
"14166",92.18,35.14,0,5.93,7.48,477.54,0.02,104.2,0.64,25.33,42.66,6.46,0
"14167",226.41,119.12,0,11.82,74.88,196.57,0,2.26,0.03,7.99,57.1,14.25,0
"14333",322.69,184.08,0,39.17,25.89,65.66,1.87,392.27,0,121.31,163.51,51.7,0
