"insee_2017","bati","parc","cons","mais","app","pro","div","loc","dens"
"76664",5022,59803,59803,8,0,7,0,15,2.50823
"76665",1872,34458,27515,15,0,0,0,15,5.45157
"76666",2666,63697,63698,14,0,4,0,18,2.82585
"76667",1179,38906,27031,8,0,0,0,8,2.95961
"76668",2040,22807,22807,13,0,0,0,13,5.70011
"76669",2807,33792,33793,20,0,0,0,20,5.91846
"76670",6906,65186,65186,50,0,0,0,50,7.6703
"76671",626,6888,6888,7,0,0,0,7,10.1619
"76672",3090,37197,37197,19,3,3,0,25,6.72092
"76673",4801,277272,62341,44,0,0,0,44,7.05797
"76674",3272,66334,55328,31,0,0,0,31,5.60292
"76675",8225,89337,86345,65,0,2,0,67,7.75959
"76676",4489,91183,62690,37,0,1,0,38,6.06154
"76677",4327,69995,59257,29,4,0,0,33,5.56898
"76678",9362,215360,125111,64,2,3,0,69,5.51509
"76679",1353,34026,30316,6,0,0,0,6,1.97918
"76680",995,25223,18227,8,0,1,0,9,4.93771
"76681",52205,267817,202556,133,569,37,6,745,36.78
"76682",5922,50347,48995,49,0,0,0,49,10.0011
"76683",3249,52381,42161,21,0,3,0,24,5.6924
"76684",9184,58074,58074,42,8,2,0,52,8.95402
"76685",4836,59389,59389,45,0,2,0,47,7.91391
"76686",6392,60316,60316,44,5,3,0,52,8.62123
"76688",5454,85183,85183,31,3,2,1,37,4.34358
"76689",8942,104638,91372,11,0,6,2,19,2.07941
"76690",4115,49956,49956,36,0,0,0,36,7.2064
"76691",2928,52411,49941,20,0,1,0,21,4.20496
"76692",1442,47726,18363,12,3,0,0,15,8.16848
"76693",8397,89183,89183,33,0,3,0,36,4.03663
"76694",1260,18492,18492,11,0,0,0,11,5.94843
"76695",3357,42932,29756,19,0,3,0,22,7.39353
"76697",3862,39322,39322,35,0,1,0,36,9.15528
"76698",2711,27888,27888,18,0,1,0,19,6.81302
"76699",5023,100445,71628,41,0,0,0,41,5.72402
"76700",12581,146402,146402,98,28,11,0,137,9.35779
"76702",4515,151852,61849,37,0,1,0,38,6.14402
"76703",501,18469,7094,5,0,0,0,5,7.04797
"76705",45857,211980,188701,125,16,19,1,161,8.53202
"76706",1980,28931,20778,20,2,0,0,22,10.5882
"76707",7457,65137,65137,59,0,1,0,60,9.21135
"76708",6361,73930,63188,36,0,3,0,39,6.1721
"76709",24368,126454,119838,53,129,16,0,198,16.5223
"76710",333,5563,5563,2,0,0,0,2,3.59535
"76711",19394,121493,98071,76,169,29,0,274,27.939
"76712",6290,56346,56346,57,0,0,0,57,10.1161
"76714",4048,51998,47646,26,0,0,0,26,5.45697
"76715",9166,101488,97684,33,0,6,0,39,3.99249
"76716",4747,91861,49688,43,3,0,1,47,9.45897
"76717",176,5298,3622,1,0,1,0,2,5.52179
"76718",16851,224041,161953,81,13,15,0,109,6.73036
"76719",2185,44716,32465,12,12,3,0,27,8.31653
"76720",9093,288588,166534,60,2,3,0,65,3.9031
"76721",2873,75541,49094,15,0,1,0,16,3.25903
"76723",3094,51283,49667,29,0,0,0,29,5.83883
"76724",1266,23011,23011,10,0,0,0,10,4.34572
"76725",4066,54482,54482,24,0,0,0,24,4.40516
"76726",2840,62715,43233,26,0,0,0,26,6.0139
"76727",8716,175133,151929,68,0,1,0,69,4.5416
"76728",10960,79132,78501,23,0,15,0,38,4.84069
"76729",3093,34173,34173,26,0,0,0,26,7.60828
"76730",777,15734,15734,9,0,0,0,9,5.72006
"76731",1489,21749,21749,14,0,0,0,14,6.43719
"76732",902,13688,13688,9,0,0,0,9,6.57513
"76733",744,10562,10562,6,0,0,0,6,5.68052
"76734",3158,64631,49711,20,0,0,0,20,4.02326
"76735",2672,42408,39616,18,4,1,0,23,5.80566
"76736",1940,20114,18783,23,0,1,0,24,12.7776
"76737",3328,54306,51042,24,0,1,0,25,4.89794
"76738",18586,113401,113401,33,6,2,0,41,3.6155
"76739",2184,29282,29282,14,0,1,0,15,5.12263
"76740",4918,60878,60878,38,0,3,0,41,6.73474
"76741",2025,44313,43774,12,0,1,0,13,2.96982
"76743",8875,106525,79155,68,0,2,1,71,8.96971
"76744",1688,24782,24782,13,0,0,0,13,5.2458
"76745",2513,24302,24303,18,0,1,0,19,7.81812
"76746",253,6789,6789,3,0,0,0,3,4.41871
"76747",3965,66111,38304,24,0,0,0,24,6.26568
