"id","Nom","pop","type","c","p","e","s"
"61017","Les Authieux-du-Puits",66,"c",,,"610000008",
"61045","Bivilliers",66,"c","61491",,,
"14153","La Chapelle-Haute-Grue",67,"c","14576",,,
"14343","Les Isles-Bardel",67,"c",,,"241400514",
"76267","La Folletiere",67,"c","76289",,,
"50351","Montrabot",68,"c",,,"500000004",
"61159","Fay",68,"c",,,"610000008",
"14412","Le Mesnil-au-Grain",69,"c",,,"140000004",
"14742","Vicques",70,"c",,,"241400514",
"27141","Champ-Dolent",70,"c",,,"242700276",
"61363","Saint-Aquilin-de-Corbion",70,"c",,,"200036069",
"61399","Saint-Gervais-des-Sablons",70,"c",,,"610000009",
"61430","Saint-Maurice-sur-Huisne",70,"c","61050",,,
"61489","Les Tourailles",70,"c","61007",,,
"61238","Louvieres-en-Auge",71,"c",,,"610000009",
"76371","Les Ifs",72,"c",,,"247600729",
"50495","Saint-Jean-du-Corail-des-Bois",73,"c",,,"501000005",
"27259","Foucrainville",74,"c",,,"270000006",
"50368","Nay",74,"c",,,"500000002",
"50621","Vaudreville",74,"c",,,"501000001",
"61259","Le Menil-Berard",74,"c",,,"610000005",
"61416","Saint-Leonard-des-Parcs",74,"c",,,"200035103",
"14329","Heuland",75,"c",,,"140000010",
"61450","Saint-Quentin-de-Blavou",75,"c",,,"200035103",
"27098","Bouchevilliers",76,"c",,,"760000003",
"27459","Les Places",76,"c",,,"270000003",
"50170","Ecoqueneauville",76,"c","50523",,,
"14652","Saint-Pierre-du-Mont",77,"c",,,"140000003",
"27369","Lilly",78,"c",,,"270000009",
"27441","Notre-Dame-d'Epine",78,"c",,,"270000004",
"50283","La Luzerne",78,"c",,,"500000004",
"76519","Rainfreville",78,"c",,,"760000006",
"61062","Brieux",79,"c",,,"610000009",
"61239","Luce",79,"c","61211",,,
"61291","Montreuil-la-Cambe",79,"c",,,"610000009",
"14638","Saint-Ouen-le-Houx",80,"c","14371",,,
"50021","Audouville-la-Hubert",80,"c",,,"200042729",
"61378","Sainte-Croix-sur-Orne",80,"c","61339",,,
"61481","Tellieres-le-Plessis",80,"c",,,"200035103",
"14348","Juvigny-sur-Seulles",81,"c",,,"140000005",
"50271","Lingeard",81,"c",,,"501000005",
"61280","Monceaux-au-Perche",81,"c","61230",,,
"61396","Saint-Germain-de-Martigny",81,"c",,,"200036069",
"61420","Sainte-Marie-la-Robert",81,"c",,,"246100655",
"61502","Vidai",81,"c",,,"200035103",
"27341","L'Hosmes",82,"c",,,"270000005",
"14222","Le Desert",83,"c","14726",,,
